"","timebyday","year","month","day","hour","season","pm2.5","cbwd","Iws","Is","Ir","DEWP","TEMP","PRES","quality"
"23","2013-1-1",2013,1,1,22,1,19,"NW",118.48,0,0,-27,-11,1032,"good"
"24","2013-1-1",2013,1,1,23,1,13,"NW",126.53,0,0,-28,-11,1033,"good"
"25","2013-1-2",2013,1,2,0,1,19,"NW",134.58,0,0,-28,-12,1033,"good"
"26","2013-1-2",2013,1,2,1,1,15,"NW",141.73,0,0,-28,-12,1033,"good"
"27","2013-1-2",2013,1,2,2,1,19,"NW",148.88,0,0,-28,-12,1034,"good"
"28","2013-1-2",2013,1,2,3,1,16,"NW",156.03,0,0,-28,-12,1035,"good"
"29","2013-1-2",2013,1,2,4,1,17,"NW",163.18,0,0,-28,-12,1035,"good"
"30","2013-1-2",2013,1,2,5,1,17,"NW",168.99,0,0,-28,-13,1036,"good"
"31","2013-1-2",2013,1,2,6,1,17,"NW",177.04,0,0,-28,-13,1036,"good"
"32","2013-1-2",2013,1,2,7,1,15,"NW",185.09,0,0,-28,-13,1036,"good"
"33","2013-1-2",2013,1,2,8,1,13,"NW",194.03,0,0,-27,-12,1037,"good"
"34","2013-1-2",2013,1,2,9,1,15,"NW",202.08,0,0,-27,-11,1039,"good"
"35","2013-1-2",2013,1,2,10,1,15,"NW",213.26,0,0,-28,-10,1040,"good"
"36","2013-1-2",2013,1,2,11,1,16,"NW",223.09,0,0,-28,-9,1041,"good"
"37","2013-1-2",2013,1,2,12,1,13,"NW",234.27,0,0,-29,-9,1041,"good"
"38","2013-1-2",2013,1,2,13,1,19,"NW",245.45,0,0,-28,-8,1040,"good"
"39","2013-1-2",2013,1,2,14,1,20,"NW",256.63,0,0,-27,-8,1040,"good"
"40","2013-1-2",2013,1,2,15,1,19,"NW",267.81,0,0,-27,-8,1040,"good"
"41","2013-1-2",2013,1,2,16,1,19,"NW",277.64,0,0,-27,-8,1041,"good"
"42","2013-1-2",2013,1,2,17,1,25,"NW",287.47,0,0,-27,-8,1042,"good"
"43","2013-1-2",2013,1,2,18,1,22,"NW",296.41,0,0,-26,-10,1043,"good"
"44","2013-1-2",2013,1,2,19,1,25,"NW",306.24,0,0,-26,-10,1044,"good"
"45","2013-1-2",2013,1,2,20,1,20,"NW",315.18,0,0,-28,-10,1044,"good"
"46","2013-1-2",2013,1,2,21,1,19,"NW",325.01,0,0,-27,-10,1045,"good"
"47","2013-1-2",2013,1,2,22,1,21,"NW",332.16,0,0,-27,-11,1046,"good"
"48","2013-1-2",2013,1,2,23,1,27,"NW",341.1,0,0,-26,-11,1046,"good"
"49","2013-1-3",2013,1,3,0,1,23,"NW",350.04,0,0,-27,-11,1046,"good"
"50","2013-1-3",2013,1,3,1,1,21,"NW",359.87,0,0,-28,-11,1046,"good"
"51","2013-1-3",2013,1,3,2,1,20,"NW",367.02,0,0,-28,-11,1046,"good"
"52","2013-1-3",2013,1,3,3,1,18,"NW",375.07,0,0,-28,-12,1046,"good"
"53","2013-1-3",2013,1,3,4,1,20,"NW",384.01,0,0,-28,-12,1046,"good"
"54","2013-1-3",2013,1,3,5,1,20,"NW",393.84,0,0,-28,-12,1045,"good"
"55","2013-1-3",2013,1,3,6,1,13,"NE",4.92,0,0,-27,-13,1045,"good"
"56","2013-1-3",2013,1,3,7,1,13,"NE",9.84,0,0,-26,-14,1045,"good"
"57","2013-1-3",2013,1,3,8,1,17,"NW",1.79,0,0,-25,-12,1046,"good"
"58","2013-1-3",2013,1,3,9,1,22,"NE",4.02,0,0,-26,-10,1046,"good"
"59","2013-1-3",2013,1,3,10,1,29,"NE",8.04,0,0,-26,-9,1046,"good"
"60","2013-1-3",2013,1,3,11,1,26,"NW",4.92,0,0,-25,-8,1046,"good"
"61","2013-1-3",2013,1,3,12,1,26,"NE",4.02,0,0,-25,-7,1044,"good"
"62","2013-1-3",2013,1,3,13,1,18,"NW",4.02,0,0,-24,-6,1043,"good"
"63","2013-1-3",2013,1,3,14,1,20,"NE",3.13,0,0,-24,-6,1042,"good"
"64","2013-1-3",2013,1,3,15,1,26,"NW",3.13,0,0,-24,-5,1041,"good"
"65","2013-1-3",2013,1,3,16,1,24,"NW",4.92,0,0,-23,-5,1041,"good"
"66","2013-1-3",2013,1,3,17,1,18,"cv",0.89,0,0,-23,-8,1041,"good"
"67","2013-1-3",2013,1,3,18,1,25,"NE",1.79,0,0,-20,-9,1041,"good"
"68","2013-1-3",2013,1,3,19,1,34,"NW",1.79,0,0,-21,-10,1041,"good"
"69","2013-1-3",2013,1,3,20,1,37,"NW",3.58,0,0,-21,-11,1040,"good"
"70","2013-1-3",2013,1,3,21,1,36,"NW",5.37,0,0,-21,-11,1040,"good"
"71","2013-1-3",2013,1,3,22,1,42,"NW",7.16,0,0,-21,-12,1040,"good"
"72","2013-1-3",2013,1,3,23,1,40,"NW",10.29,0,0,-21,-12,1040,"good"
"73","2013-1-4",2013,1,4,0,1,37,"NW",12.08,0,0,-21,-14,1039,"good"
"74","2013-1-4",2013,1,4,1,1,33,"NW",15.21,0,0,-21,-15,1039,"good"
"75","2013-1-4",2013,1,4,2,1,35,"NW",18.34,0,0,-22,-16,1038,"good"
"76","2013-1-4",2013,1,4,3,1,58,"NW",20.13,0,0,-22,-17,1038,"moderate"
"77","2013-1-4",2013,1,4,4,1,56,"NW",23.26,0,0,-21,-14,1037,"moderate"
"78","2013-1-4",2013,1,4,5,1,62,"NW",26.39,0,0,-22,-15,1036,"moderate"
"79","2013-1-4",2013,1,4,6,1,37,"NW",28.18,0,0,-23,-16,1036,"good"
"80","2013-1-4",2013,1,4,7,1,37,"NW",29.97,0,0,-22,-15,1035,"good"
"81","2013-1-4",2013,1,4,8,1,41,"NW",31.76,0,0,-22,-16,1035,"good"
"82","2013-1-4",2013,1,4,9,1,41,"NW",34.89,0,0,-20,-11,1035,"good"
"83","2013-1-4",2013,1,4,10,1,39,"NW",38.02,0,0,-21,-8,1035,"good"
"84","2013-1-4",2013,1,4,11,1,48,"cv",0.89,0,0,-22,-7,1034,"good"
"85","2013-1-4",2013,1,4,12,1,59,"NW",1.79,0,0,-21,-5,1032,"moderate"
"86","2013-1-4",2013,1,4,13,1,63,"NW",4.92,0,0,-22,-5,1031,"moderate"
"87","2013-1-4",2013,1,4,14,1,74,"cv",1.79,0,0,-22,-3,1029,"moderate"
"88","2013-1-4",2013,1,4,15,1,69,"NW",3.13,0,0,-23,-3,1029,"moderate"
"89","2013-1-4",2013,1,4,16,1,79,"SE",3.13,0,0,-23,-4,1029,"moderate"
"90","2013-1-4",2013,1,4,17,1,89,"SE",4.92,0,0,-22,-4,1028,"moderate"
"91","2013-1-4",2013,1,4,18,1,94,"NE",1.79,0,0,-21,-9,1028,"moderate"
"92","2013-1-4",2013,1,4,19,1,113,"cv",0.45,0,0,-20,-9,1028,"unhealthy"
"93","2013-1-4",2013,1,4,20,1,132,"cv",0.9,0,0,-18,-10,1029,"unhealthy"
"94","2013-1-4",2013,1,4,21,1,186,"cv",1.79,0,0,-18,-12,1029,"unhealthy"
"95","2013-1-4",2013,1,4,22,1,205,"cv",2.68,0,0,-18,-13,1029,"unhealthy"
"96","2013-1-4",2013,1,4,23,1,204,"NW",1.79,0,0,-19,-15,1029,"unhealthy"
"97","2013-1-5",2013,1,5,0,1,198,"NW",2.68,0,0,-18,-14,1029,"unhealthy"
"98","2013-1-5",2013,1,5,1,1,176,"cv",0.89,0,0,-20,-14,1028,"unhealthy"
"99","2013-1-5",2013,1,5,2,1,111,"NE",3.13,0,0,-20,-11,1028,"unhealthy"
"100","2013-1-5",2013,1,5,3,1,140,"NW",3.13,0,0,-22,-14,1028,"unhealthy"
"101","2013-1-5",2013,1,5,4,1,78,"NW",8.05,0,0,-21,-14,1028,"moderate"
"102","2013-1-5",2013,1,5,5,1,30,"NW",12.97,0,0,-21,-12,1028,"good"
"103","2013-1-5",2013,1,5,6,1,31,"NE",4.92,0,0,-22,-10,1028,"good"
"104","2013-1-5",2013,1,5,7,1,34,"NW",4.02,0,0,-23,-11,1029,"good"
"105","2013-1-5",2013,1,5,8,1,29,"NW",8.04,0,0,-22,-8,1029,"good"
"106","2013-1-5",2013,1,5,9,1,40,"NE",4.92,0,0,-23,-7,1030,"good"
"107","2013-1-5",2013,1,5,10,1,43,"NE",10.73,0,0,-23,-5,1030,"good"
"108","2013-1-5",2013,1,5,11,1,43,"NW",4.92,0,0,-23,-2,1030,"good"
"109","2013-1-5",2013,1,5,12,1,39,"NE",4.92,0,0,-22,-3,1029,"good"
"110","2013-1-5",2013,1,5,13,1,38,"NE",9.84,0,0,-22,-2,1028,"good"
"111","2013-1-5",2013,1,5,14,1,37,"NE",13.86,0,0,-22,-1,1027,"good"
"112","2013-1-5",2013,1,5,15,1,37,"NE",16.99,0,0,-22,0,1028,"good"
"113","2013-1-5",2013,1,5,16,1,36,"NE",18.78,0,0,-22,-1,1028,"good"
"114","2013-1-5",2013,1,5,17,1,41,"NE",19.67,0,0,-21,-3,1028,"good"
"115","2013-1-5",2013,1,5,18,1,49,"NE",20.56,0,0,-20,-5,1029,"good"
"116","2013-1-5",2013,1,5,19,1,69,"NW",1.79,0,0,-20,-8,1029,"moderate"
"117","2013-1-5",2013,1,5,20,1,86,"NW",4.92,0,0,-19,-10,1029,"moderate"
"118","2013-1-5",2013,1,5,21,1,73,"NW",8.05,0,0,-20,-9,1029,"moderate"
"119","2013-1-5",2013,1,5,22,1,64,"NW",11.18,0,0,-20,-9,1030,"moderate"
"120","2013-1-5",2013,1,5,23,1,72,"NW",14.31,0,0,-18,-9,1030,"moderate"
"121","2013-1-6",2013,1,6,0,1,72,"NE",1.79,0,0,-19,-10,1030,"moderate"
"122","2013-1-6",2013,1,6,1,1,49,"NE",4.92,0,0,-18,-8,1030,"good"
"123","2013-1-6",2013,1,6,2,1,48,"NW",3.13,0,0,-19,-10,1030,"good"
"124","2013-1-6",2013,1,6,3,1,34,"NW",7.15,0,0,-18,-11,1030,"good"
"125","2013-1-6",2013,1,6,4,1,40,"NW",10.28,0,0,-18,-13,1029,"good"
"126","2013-1-6",2013,1,6,5,1,39,"NW",14.3,0,0,-18,-13,1029,"good"
"127","2013-1-6",2013,1,6,6,1,30,"NW",18.32,0,0,-18,-12,1029,"good"
"128","2013-1-6",2013,1,6,7,1,32,"NW",22.34,0,0,-18,-12,1029,"good"
"129","2013-1-6",2013,1,6,8,1,41,"NW",25.47,0,0,-18,-11,1029,"good"
"130","2013-1-6",2013,1,6,9,1,45,"NW",28.6,0,0,-17,-7,1030,"good"
"131","2013-1-6",2013,1,6,10,1,61,"NW",31.73,0,0,-18,-5,1030,"moderate"
"132","2013-1-6",2013,1,6,11,1,50,"NW",34.86,0,0,-19,-3,1029,"good"
"133","2013-1-6",2013,1,6,12,1,65,"NE",1.79,0,0,-19,-3,1028,"moderate"
"134","2013-1-6",2013,1,6,13,1,70,"NW",1.79,0,0,-19,-2,1027,"moderate"
"135","2013-1-6",2013,1,6,14,1,78,"NW",3.58,0,0,-19,-1,1026,"moderate"
"136","2013-1-6",2013,1,6,15,1,108,"SE",3.13,0,0,-19,-1,1025,"unhealthy"
"137","2013-1-6",2013,1,6,16,1,142,"SE",6.26,0,0,-18,-1,1025,"unhealthy"
"138","2013-1-6",2013,1,6,17,1,193,"SE",9.39,0,0,-18,-1,1025,"unhealthy"
"139","2013-1-6",2013,1,6,18,1,204,"SE",12.52,0,0,-17,-3,1025,"unhealthy"
"140","2013-1-6",2013,1,6,19,1,266,"SE",15.65,0,0,-16,-2,1026,"unhealthy"
"141","2013-1-6",2013,1,6,20,1,335,"cv",0.45,0,0,-16,-6,1025,"posisonous"
"142","2013-1-6",2013,1,6,21,1,392,"NE",0.89,0,0,-15,-7,1026,"posisonous"
"143","2013-1-6",2013,1,6,22,1,413,"cv",0.89,0,0,-14,-9,1026,"posisonous"
"144","2013-1-6",2013,1,6,23,1,339,"SE",0.89,0,0,-14,-10,1026,"posisonous"
"145","2013-1-7",2013,1,7,0,1,285,"cv",0.45,0,0,-14,-10,1026,"unhealthy"
"146","2013-1-7",2013,1,7,1,1,236,"NW",1.79,0,0,-16,-12,1026,"unhealthy"
"147","2013-1-7",2013,1,7,2,1,173,"NW",4.92,0,0,-17,-13,1025,"unhealthy"
"148","2013-1-7",2013,1,7,3,1,159,"NW",8.05,0,0,-16,-12,1025,"unhealthy"
"149","2013-1-7",2013,1,7,4,1,128,"NW",9.84,0,0,-17,-12,1025,"unhealthy"
"150","2013-1-7",2013,1,7,5,1,99,"NW",11.63,0,0,-16,-12,1025,"moderate"
"151","2013-1-7",2013,1,7,6,1,89,"NW",14.76,0,0,-17,-14,1025,"moderate"
"152","2013-1-7",2013,1,7,7,1,88,"NW",16.55,0,0,-17,-12,1025,"moderate"
"153","2013-1-7",2013,1,7,8,1,84,"NW",19.68,0,0,-16,-11,1025,"moderate"
"154","2013-1-7",2013,1,7,9,1,71,"NW",21.47,0,0,-15,-7,1026,"moderate"
"155","2013-1-7",2013,1,7,10,1,76,"NW",23.26,0,0,-16,-5,1026,"moderate"
"156","2013-1-7",2013,1,7,11,1,78,"cv",0.89,0,0,-16,-5,1026,"moderate"
"157","2013-1-7",2013,1,7,12,1,89,"NW",3.13,0,0,-15,-3,1025,"moderate"
"158","2013-1-7",2013,1,7,13,1,102,"cv",1.79,0,0,-15,-1,1025,"unhealthy"
"159","2013-1-7",2013,1,7,14,1,113,"NW",1.79,0,0,-18,1,1024,"unhealthy"
"160","2013-1-7",2013,1,7,15,1,134,"cv",0.89,0,0,-19,1,1024,"unhealthy"
"161","2013-1-7",2013,1,7,16,1,33,"cv",1.34,0,0,-19,0,1024,"good"
"162","2013-1-7",2013,1,7,17,1,133,"cv",2.23,0,0,-16,-3,1024,"unhealthy"
"163","2013-1-7",2013,1,7,18,1,150,"SE",0.89,0,0,-15,-4,1024,"unhealthy"
"164","2013-1-7",2013,1,7,19,1,164,"NE",0.89,0,0,-14,-7,1025,"unhealthy"
"165","2013-1-7",2013,1,7,20,1,194,"SE",1.79,0,0,-14,-7,1026,"unhealthy"
"166","2013-1-7",2013,1,7,21,1,233,"SE",2.68,0,0,-14,-8,1026,"unhealthy"
"167","2013-1-7",2013,1,7,22,1,250,"cv",0.45,0,0,-14,-7,1027,"unhealthy"
"168","2013-1-7",2013,1,7,23,1,299,"cv",0.9,0,0,-13,-8,1027,"unhealthy"
"169","2013-1-8",2013,1,8,0,1,333,"NW",1.79,0,0,-14,-10,1028,"posisonous"
"170","2013-1-8",2013,1,8,1,1,357,"NE",0.89,0,0,-14,-10,1028,"posisonous"
"171","2013-1-8",2013,1,8,2,1,390,"NE",2.68,0,0,-13,-8,1029,"posisonous"
"172","2013-1-8",2013,1,8,3,1,326,"NE",3.57,0,0,-14,-9,1029,"posisonous"
"173","2013-1-8",2013,1,8,4,1,402,"NE",4.46,0,0,-14,-10,1029,"posisonous"
"174","2013-1-8",2013,1,8,5,1,365,"NW",1.79,0,0,-15,-13,1029,"posisonous"
"175","2013-1-8",2013,1,8,6,1,257,"NW",4.92,0,0,-14,-12,1030,"unhealthy"
"176","2013-1-8",2013,1,8,7,1,135,"NW",6.71,0,0,-15,-11,1030,"unhealthy"
"177","2013-1-8",2013,1,8,8,1,159,"NE",1.79,0,0,-13,-10,1032,"unhealthy"
"178","2013-1-8",2013,1,8,9,1,170,"cv",0.89,0,0,-11,-7,1033,"unhealthy"
"179","2013-1-8",2013,1,8,10,1,36,"NW",8.05,0,0,-16,-4,1033,"good"
"180","2013-1-8",2013,1,8,11,1,19,"NW",15.2,0,0,-17,-3,1033,"good"
"181","2013-1-8",2013,1,8,12,1,20,"NW",23.25,0,0,-19,-2,1031,"good"
"182","2013-1-8",2013,1,8,13,1,18,"NW",33.08,0,0,-19,-2,1031,"good"
"183","2013-1-8",2013,1,8,14,1,19,"NW",40.23,0,0,-20,-2,1031,"good"
"184","2013-1-8",2013,1,8,15,1,14,"NW",45.15,0,0,-20,-2,1031,"good"
"185","2013-1-8",2013,1,8,16,1,11,"NW",52.3,0,0,-21,-2,1031,"good"
"186","2013-1-8",2013,1,8,17,1,16,"NW",58.11,0,0,-22,-3,1031,"good"
"187","2013-1-8",2013,1,8,18,1,19,"NW",63.03,0,0,-21,-4,1031,"good"
"188","2013-1-8",2013,1,8,19,1,18,"NW",67.05,0,0,-21,-8,1032,"good"
"189","2013-1-8",2013,1,8,20,1,21,"NW",71.07,0,0,-22,-10,1032,"good"
"190","2013-1-8",2013,1,8,21,1,21,"NW",75.09,0,0,-21,-9,1033,"good"
"191","2013-1-8",2013,1,8,22,1,17,"NW",78.22,0,0,-23,-9,1033,"good"
"192","2013-1-8",2013,1,8,23,1,19,"NW",82.24,0,0,-23,-7,1034,"good"
"193","2013-1-9",2013,1,9,0,1,23,"NE",1.79,0,0,-23,-10,1034,"good"
"194","2013-1-9",2013,1,9,1,1,29,"NW",3.13,0,0,-23,-11,1033,"good"
"195","2013-1-9",2013,1,9,2,1,22,"NW",7.15,0,0,-22,-9,1033,"good"
"196","2013-1-9",2013,1,9,3,1,18,"NW",11.17,0,0,-21,-12,1033,"good"
"197","2013-1-9",2013,1,9,4,1,24,"NW",14.3,0,0,-22,-12,1032,"good"
"198","2013-1-9",2013,1,9,5,1,22,"NW",16.09,0,0,-21,-12,1032,"good"
"199","2013-1-9",2013,1,9,6,1,17,"cv",0.89,0,0,-21,-13,1032,"good"
"200","2013-1-9",2013,1,9,7,1,27,"NW",1.79,0,0,-20,-13,1032,"good"
"201","2013-1-9",2013,1,9,8,1,44,"NE",1.79,0,0,-20,-15,1032,"good"
"202","2013-1-9",2013,1,9,9,1,46,"cv",0.89,0,0,-18,-9,1033,"good"
"203","2013-1-9",2013,1,9,10,1,35,"NW",1.79,0,0,-19,-6,1033,"good"
"204","2013-1-9",2013,1,9,11,1,48,"cv",0.89,0,0,-20,-4,1032,"good"
"205","2013-1-9",2013,1,9,12,1,59,"NW",1.79,0,0,-19,-3,1031,"moderate"
"206","2013-1-9",2013,1,9,13,1,69,"cv",0.89,0,0,-19,-1,1029,"moderate"
"207","2013-1-9",2013,1,9,14,1,72,"NW",4.92,0,0,-23,1,1028,"moderate"
"208","2013-1-9",2013,1,9,15,1,59,"NW",9.84,0,0,-23,1,1028,"moderate"
"209","2013-1-9",2013,1,9,16,1,57,"NW",13.86,0,0,-23,0,1028,"moderate"
"210","2013-1-9",2013,1,9,17,1,67,"SE",4.02,0,0,-18,-1,1028,"moderate"
"211","2013-1-9",2013,1,9,18,1,75,"SE",7.15,0,0,-18,-3,1028,"moderate"
"212","2013-1-9",2013,1,9,19,1,15,"SE",10.28,0,0,-15,-5,1028,"good"
"213","2013-1-9",2013,1,9,20,1,38,"SE",12.07,0,0,-15,-4,1029,"good"
"214","2013-1-9",2013,1,9,21,1,41,"cv",0.89,0,0,-14,-7,1029,"good"
"215","2013-1-9",2013,1,9,22,1,63,"SE",0.89,0,0,-15,-8,1029,"moderate"
"216","2013-1-9",2013,1,9,23,1,234,"cv",0.89,0,0,-15,-11,1029,"unhealthy"
"217","2013-1-10",2013,1,10,0,1,305,"NE",0.89,0,0,-15,-12,1029,"posisonous"
"218","2013-1-10",2013,1,10,1,1,304,"NE",1.78,0,0,-16,-12,1029,"posisonous"
"219","2013-1-10",2013,1,10,2,1,303,"NW",1.79,0,0,-17,-13,1029,"posisonous"
"220","2013-1-10",2013,1,10,3,1,221,"NW",2.68,0,0,-17,-13,1029,"unhealthy"
"221","2013-1-10",2013,1,10,4,1,179,"NW",5.81,0,0,-18,-14,1028,"unhealthy"
"222","2013-1-10",2013,1,10,5,1,162,"NW",8.94,0,0,-18,-14,1028,"unhealthy"
"223","2013-1-10",2013,1,10,6,1,111,"NW",10.73,0,0,-17,-13,1028,"unhealthy"
"224","2013-1-10",2013,1,10,7,1,114,"NW",13.86,0,0,-17,-13,1028,"unhealthy"
"225","2013-1-10",2013,1,10,8,1,81,"NW",16.99,0,0,-16,-12,1029,"moderate"
"226","2013-1-10",2013,1,10,9,1,56,"NW",18.78,0,0,-15,-9,1029,"moderate"
"227","2013-1-10",2013,1,10,10,1,63,"cv",0.89,0,0,-15,-7,1029,"moderate"
"228","2013-1-10",2013,1,10,11,1,79,"cv",1.78,0,0,-15,-6,1029,"moderate"
"229","2013-1-10",2013,1,10,12,1,84,"cv",2.67,0,0,-14,-4,1028,"moderate"
"230","2013-1-10",2013,1,10,13,1,97,"SE",1.79,0,0,-13,-3,1027,"moderate"
"231","2013-1-10",2013,1,10,14,1,111,"SE",3.58,0,0,-11,-3,1027,"unhealthy"
"232","2013-1-10",2013,1,10,15,1,167,"SE",5.37,0,0,-11,-3,1026,"unhealthy"
"233","2013-1-10",2013,1,10,16,1,279,"SE",7.16,0,0,-10,-3,1026,"unhealthy"
"234","2013-1-10",2013,1,10,17,1,395,"SE",8.95,0,0,-9,-5,1026,"posisonous"
"235","2013-1-10",2013,1,10,18,1,449,"SE",9.84,0,0,-10,-7,1026,"posisonous"
"236","2013-1-10",2013,1,10,19,1,389,"SE",10.73,0,0,-9,-7,1027,"posisonous"
"237","2013-1-10",2013,1,10,20,1,421,"SE",12.52,0,0,-9,-7,1027,"posisonous"
"238","2013-1-10",2013,1,10,21,1,486,"SE",15.65,0,0,-8,-7,1027,"posisonous"
"239","2013-1-10",2013,1,10,22,1,486,"cv",0.89,0,0,-7,-6,1027,"posisonous"
"240","2013-1-10",2013,1,10,23,1,488,"SE",0.89,0,0,-7,-6,1027,"posisonous"
"241","2013-1-11",2013,1,11,0,1,434,"cv",0.89,0,0,-7,-6,1026,"posisonous"
"242","2013-1-11",2013,1,11,1,1,425,"cv",1.78,0,0,-7,-5,1025,"posisonous"
"243","2013-1-11",2013,1,11,2,1,418,"cv",2.67,0,0,-7,-5,1026,"posisonous"
"244","2013-1-11",2013,1,11,3,1,416,"NW",1.79,0,0,-7,-5,1025,"posisonous"
"245","2013-1-11",2013,1,11,4,1,402,"NW",2.68,0,0,-7,-5,1024,"posisonous"
"246","2013-1-11",2013,1,11,5,1,429,"NW",4.47,0,0,-7,-5,1024,"posisonous"
"247","2013-1-11",2013,1,11,6,1,408,"NW",6.26,0,0,-7,-5,1024,"posisonous"
"248","2013-1-11",2013,1,11,7,1,456,"NW",8.05,0,0,-7,-5,1024,"posisonous"
"249","2013-1-11",2013,1,11,8,1,434,"NW",9.84,0,0,-7,-5,1025,"posisonous"
"250","2013-1-11",2013,1,11,9,1,391,"NE",0.89,1,0,-6,-5,1025,"posisonous"
"251","2013-1-11",2013,1,11,10,1,377,"NW",3.13,0,0,-7,-4,1025,"posisonous"
"252","2013-1-11",2013,1,11,11,1,377,"NW",6.26,0,0,-7,-3,1024,"posisonous"
"253","2013-1-11",2013,1,11,12,1,361,"NW",9.39,0,0,-7,-2,1023,"posisonous"
"254","2013-1-11",2013,1,11,13,1,343,"cv",0.89,0,0,-7,-1,1022,"posisonous"
"255","2013-1-11",2013,1,11,14,1,356,"cv",1.78,0,0,-7,-1,1022,"posisonous"
"256","2013-1-11",2013,1,11,15,1,353,"cv",2.67,0,0,-8,0,1022,"posisonous"
"257","2013-1-11",2013,1,11,16,1,340,"cv",3.56,0,0,-9,1,1022,"posisonous"
"258","2013-1-11",2013,1,11,17,1,146,"NW",3.13,0,0,-10,1,1023,"unhealthy"
"259","2013-1-11",2013,1,11,18,1,216,"SE",3.13,0,0,-8,-2,1023,"unhealthy"
"260","2013-1-11",2013,1,11,19,1,291,"SE",4.92,0,0,-9,-4,1024,"unhealthy"
"261","2013-1-11",2013,1,11,20,1,325,"cv",1.79,0,0,-11,-7,1025,"posisonous"
"262","2013-1-11",2013,1,11,21,1,292,"cv",2.68,0,0,-9,-6,1025,"unhealthy"
"263","2013-1-11",2013,1,11,22,1,371,"cv",3.57,0,0,-11,-9,1025,"posisonous"
"264","2013-1-11",2013,1,11,23,1,369,"SE",3.13,0,0,-8,-5,1025,"posisonous"
"265","2013-1-12",2013,1,12,0,1,374,"cv",0.89,0,0,-10,-9,1025,"posisonous"
"266","2013-1-12",2013,1,12,1,1,391,"SE",1.79,0,0,-11,-10,1025,"posisonous"
"267","2013-1-12",2013,1,12,2,1,442,"NE",1.79,0,0,-13,-12,1025,"posisonous"
"268","2013-1-12",2013,1,12,3,1,425,"SE",0.89,0,0,-12,-11,1025,"posisonous"
"269","2013-1-12",2013,1,12,4,1,442,"cv",0.89,0,0,-12,-11,1024,"posisonous"
"270","2013-1-12",2013,1,12,5,1,287,"cv",1.78,0,0,-12,-11,1024,"unhealthy"
"271","2013-1-12",2013,1,12,6,1,275,"cv",2.67,0,0,-13,-10,1024,"unhealthy"
"272","2013-1-12",2013,1,12,7,1,174,"cv",3.56,0,0,-14,-12,1024,"unhealthy"
"273","2013-1-12",2013,1,12,8,1,278,"NW",1.79,0,0,-15,-13,1024,"unhealthy"
"274","2013-1-12",2013,1,12,10,1,319,"NW",5.37,0,0,-10,-6,1024,"posisonous"
"275","2013-1-12",2013,1,12,11,1,383,"cv",0.89,0,0,-9,-3,1024,"posisonous"
"276","2013-1-12",2013,1,12,12,1,472,"SE",1.79,0,0,-9,-3,1022,"posisonous"
"277","2013-1-12",2013,1,12,13,1,458,"SE",3.58,0,0,-9,-2,1021,"posisonous"
"278","2013-1-12",2013,1,12,14,1,529,"SE",5.37,0,0,-7,-1,1021,"posisonous"
"279","2013-1-12",2013,1,12,15,1,802,"SE",7.16,0,0,-7,-1,1021,"posisonous"
"280","2013-1-12",2013,1,12,16,1,845,"SE",8.95,0,0,-7,-2,1021,"posisonous"
