"","timebyday","hour","season","pm2.5","cbwd","Iws","Is","Ir","DEWP","TEMP","PRES","quality","timestamp","cbwd_data"
"45",2013-01-02,20,1,20,"NW",315.18,0,0,-28,-10,1044,"good",15707,1
"46",2013-01-02,21,1,19,"NW",325.01,0,0,-27,-10,1045,"good",15707,1
"47",2013-01-02,22,1,21,"NW",332.16,0,0,-27,-11,1046,"good",15707,1
"48",2013-01-02,23,1,27,"NW",341.1,0,0,-26,-11,1046,"good",15707,1
"49",2013-01-03,0,1,23,"NW",350.04,0,0,-27,-11,1046,"good",15708,1
"50",2013-01-03,1,1,21,"NW",359.87,0,0,-28,-11,1046,"good",15708,1
"51",2013-01-03,2,1,20,"NW",367.02,0,0,-28,-11,1046,"good",15708,1
"52",2013-01-03,3,1,18,"NW",375.07,0,0,-28,-12,1046,"good",15708,1
"53",2013-01-03,4,1,20,"NW",384.01,0,0,-28,-12,1046,"good",15708,1
"54",2013-01-03,5,1,20,"NW",393.84,0,0,-28,-12,1045,"good",15708,1
"55",2013-01-03,6,1,13,"NE",4.92,0,0,-27,-13,1045,"good",15708,3
"56",2013-01-03,7,1,13,"NE",9.84,0,0,-26,-14,1045,"good",15708,3
"57",2013-01-03,8,1,17,"NW",1.79,0,0,-25,-12,1046,"good",15708,1
"58",2013-01-03,9,1,22,"NE",4.02,0,0,-26,-10,1046,"good",15708,3
"59",2013-01-03,10,1,29,"NE",8.04,0,0,-26,-9,1046,"good",15708,3
"60",2013-01-03,11,1,26,"NW",4.92,0,0,-25,-8,1046,"good",15708,1
"61",2013-01-03,12,1,26,"NE",4.02,0,0,-25,-7,1044,"good",15708,3
"62",2013-01-03,13,1,18,"NW",4.02,0,0,-24,-6,1043,"good",15708,1
"63",2013-01-03,14,1,20,"NE",3.13,0,0,-24,-6,1042,"good",15708,3
"64",2013-01-03,15,1,26,"NW",3.13,0,0,-24,-5,1041,"good",15708,1
"65",2013-01-03,16,1,24,"NW",4.92,0,0,-23,-5,1041,"good",15708,1
"66",2013-01-03,17,1,18,"cv",0.89,0,0,-23,-8,1041,"good",15708,2
"67",2013-01-03,18,1,25,"NE",1.79,0,0,-20,-9,1041,"good",15708,3
"68",2013-01-03,19,1,34,"NW",1.79,0,0,-21,-10,1041,"good",15708,1
"69",2013-01-03,20,1,37,"NW",3.58,0,0,-21,-11,1040,"good",15708,1
"70",2013-01-03,21,1,36,"NW",5.37,0,0,-21,-11,1040,"good",15708,1
"71",2013-01-03,22,1,42,"NW",7.16,0,0,-21,-12,1040,"good",15708,1
"72",2013-01-03,23,1,40,"NW",10.29,0,0,-21,-12,1040,"good",15708,1
"73",2013-01-04,0,1,37,"NW",12.08,0,0,-21,-14,1039,"good",15709,1
"74",2013-01-04,1,1,33,"NW",15.21,0,0,-21,-15,1039,"good",15709,1
"75",2013-01-04,2,1,35,"NW",18.34,0,0,-22,-16,1038,"good",15709,1
"76",2013-01-04,3,1,58,"NW",20.13,0,0,-22,-17,1038,"moderate",15709,1
"77",2013-01-04,4,1,56,"NW",23.26,0,0,-21,-14,1037,"moderate",15709,1
"78",2013-01-04,5,1,62,"NW",26.39,0,0,-22,-15,1036,"moderate",15709,1
"79",2013-01-04,6,1,37,"NW",28.18,0,0,-23,-16,1036,"good",15709,1
"80",2013-01-04,7,1,37,"NW",29.97,0,0,-22,-15,1035,"good",15709,1
"81",2013-01-04,8,1,41,"NW",31.76,0,0,-22,-16,1035,"good",15709,1
"82",2013-01-04,9,1,41,"NW",34.89,0,0,-20,-11,1035,"good",15709,1
"83",2013-01-04,10,1,39,"NW",38.02,0,0,-21,-8,1035,"good",15709,1
"84",2013-01-04,11,1,48,"cv",0.89,0,0,-22,-7,1034,"good",15709,2
"85",2013-01-04,12,1,59,"NW",1.79,0,0,-21,-5,1032,"moderate",15709,1
"86",2013-01-04,13,1,63,"NW",4.92,0,0,-22,-5,1031,"moderate",15709,1
"87",2013-01-04,14,1,74,"cv",1.79,0,0,-22,-3,1029,"moderate",15709,2
"88",2013-01-04,15,1,69,"NW",3.13,0,0,-23,-3,1029,"moderate",15709,1
"89",2013-01-04,16,1,79,"SE",3.13,0,0,-23,-4,1029,"moderate",15709,4
"90",2013-01-04,17,1,89,"SE",4.92,0,0,-22,-4,1028,"moderate",15709,4
"91",2013-01-04,18,1,94,"NE",1.79,0,0,-21,-9,1028,"moderate",15709,3
"92",2013-01-04,19,1,113,"cv",0.45,0,0,-20,-9,1028,"unhealthy",15709,2
"93",2013-01-04,20,1,132,"cv",0.9,0,0,-18,-10,1029,"unhealthy",15709,2
"94",2013-01-04,21,1,186,"cv",1.79,0,0,-18,-12,1029,"unhealthy",15709,2
"95",2013-01-04,22,1,205,"cv",2.68,0,0,-18,-13,1029,"unhealthy",15709,2
"96",2013-01-04,23,1,204,"NW",1.79,0,0,-19,-15,1029,"unhealthy",15709,1
"97",2013-01-05,0,1,198,"NW",2.68,0,0,-18,-14,1029,"unhealthy",15710,1
"98",2013-01-05,1,1,176,"cv",0.89,0,0,-20,-14,1028,"unhealthy",15710,2
"99",2013-01-05,2,1,111,"NE",3.13,0,0,-20,-11,1028,"unhealthy",15710,3
"100",2013-01-05,3,1,140,"NW",3.13,0,0,-22,-14,1028,"unhealthy",15710,1
"101",2013-01-05,4,1,78,"NW",8.05,0,0,-21,-14,1028,"moderate",15710,1
"102",2013-01-05,5,1,30,"NW",12.97,0,0,-21,-12,1028,"good",15710,1
"103",2013-01-05,6,1,31,"NE",4.92,0,0,-22,-10,1028,"good",15710,3
"104",2013-01-05,7,1,34,"NW",4.02,0,0,-23,-11,1029,"good",15710,1
"105",2013-01-05,8,1,29,"NW",8.04,0,0,-22,-8,1029,"good",15710,1
"106",2013-01-05,9,1,40,"NE",4.92,0,0,-23,-7,1030,"good",15710,3
"107",2013-01-05,10,1,43,"NE",10.73,0,0,-23,-5,1030,"good",15710,3
"108",2013-01-05,11,1,43,"NW",4.92,0,0,-23,-2,1030,"good",15710,1
"109",2013-01-05,12,1,39,"NE",4.92,0,0,-22,-3,1029,"good",15710,3
"110",2013-01-05,13,1,38,"NE",9.84,0,0,-22,-2,1028,"good",15710,3
"111",2013-01-05,14,1,37,"NE",13.86,0,0,-22,-1,1027,"good",15710,3
"112",2013-01-05,15,1,37,"NE",16.99,0,0,-22,0,1028,"good",15710,3
"113",2013-01-05,16,1,36,"NE",18.78,0,0,-22,-1,1028,"good",15710,3
"114",2013-01-05,17,1,41,"NE",19.67,0,0,-21,-3,1028,"good",15710,3
"115",2013-01-05,18,1,49,"NE",20.56,0,0,-20,-5,1029,"good",15710,3
"116",2013-01-05,19,1,69,"NW",1.79,0,0,-20,-8,1029,"moderate",15710,1
"117",2013-01-05,20,1,86,"NW",4.92,0,0,-19,-10,1029,"moderate",15710,1
"118",2013-01-05,21,1,73,"NW",8.05,0,0,-20,-9,1029,"moderate",15710,1
"119",2013-01-05,22,1,64,"NW",11.18,0,0,-20,-9,1030,"moderate",15710,1
"120",2013-01-05,23,1,72,"NW",14.31,0,0,-18,-9,1030,"moderate",15710,1
"121",2013-01-06,0,1,72,"NE",1.79,0,0,-19,-10,1030,"moderate",15711,3
"122",2013-01-06,1,1,49,"NE",4.92,0,0,-18,-8,1030,"good",15711,3
"123",2013-01-06,2,1,48,"NW",3.13,0,0,-19,-10,1030,"good",15711,1
"124",2013-01-06,3,1,34,"NW",7.15,0,0,-18,-11,1030,"good",15711,1
"125",2013-01-06,4,1,40,"NW",10.28,0,0,-18,-13,1029,"good",15711,1
"126",2013-01-06,5,1,39,"NW",14.3,0,0,-18,-13,1029,"good",15711,1
"127",2013-01-06,6,1,30,"NW",18.32,0,0,-18,-12,1029,"good",15711,1
"128",2013-01-06,7,1,32,"NW",22.34,0,0,-18,-12,1029,"good",15711,1
"129",2013-01-06,8,1,41,"NW",25.47,0,0,-18,-11,1029,"good",15711,1
"130",2013-01-06,9,1,45,"NW",28.6,0,0,-17,-7,1030,"good",15711,1
"131",2013-01-06,10,1,61,"NW",31.73,0,0,-18,-5,1030,"moderate",15711,1
"132",2013-01-06,11,1,50,"NW",34.86,0,0,-19,-3,1029,"good",15711,1
"133",2013-01-06,12,1,65,"NE",1.79,0,0,-19,-3,1028,"moderate",15711,3
"134",2013-01-06,13,1,70,"NW",1.79,0,0,-19,-2,1027,"moderate",15711,1
"135",2013-01-06,14,1,78,"NW",3.58,0,0,-19,-1,1026,"moderate",15711,1
"136",2013-01-06,15,1,108,"SE",3.13,0,0,-19,-1,1025,"unhealthy",15711,4
"137",2013-01-06,16,1,142,"SE",6.26,0,0,-18,-1,1025,"unhealthy",15711,4
"138",2013-01-06,17,1,193,"SE",9.39,0,0,-18,-1,1025,"unhealthy",15711,4
"139",2013-01-06,18,1,204,"SE",12.52,0,0,-17,-3,1025,"unhealthy",15711,4
"140",2013-01-06,19,1,266,"SE",15.65,0,0,-16,-2,1026,"unhealthy",15711,4
"141",2013-01-06,20,1,335,"cv",0.45,0,0,-16,-6,1025,"posisonous",15711,2
"142",2013-01-06,21,1,392,"NE",0.89,0,0,-15,-7,1026,"posisonous",15711,3
"143",2013-01-06,22,1,413,"cv",0.89,0,0,-14,-9,1026,"posisonous",15711,2
"144",2013-01-06,23,1,339,"SE",0.89,0,0,-14,-10,1026,"posisonous",15711,4
"145",2013-01-07,0,1,285,"cv",0.45,0,0,-14,-10,1026,"unhealthy",15712,2
"146",2013-01-07,1,1,236,"NW",1.79,0,0,-16,-12,1026,"unhealthy",15712,1
"147",2013-01-07,2,1,173,"NW",4.92,0,0,-17,-13,1025,"unhealthy",15712,1
"148",2013-01-07,3,1,159,"NW",8.05,0,0,-16,-12,1025,"unhealthy",15712,1
"149",2013-01-07,4,1,128,"NW",9.84,0,0,-17,-12,1025,"unhealthy",15712,1
"150",2013-01-07,5,1,99,"NW",11.63,0,0,-16,-12,1025,"moderate",15712,1
"151",2013-01-07,6,1,89,"NW",14.76,0,0,-17,-14,1025,"moderate",15712,1
"152",2013-01-07,7,1,88,"NW",16.55,0,0,-17,-12,1025,"moderate",15712,1
"153",2013-01-07,8,1,84,"NW",19.68,0,0,-16,-11,1025,"moderate",15712,1
"154",2013-01-07,9,1,71,"NW",21.47,0,0,-15,-7,1026,"moderate",15712,1
"155",2013-01-07,10,1,76,"NW",23.26,0,0,-16,-5,1026,"moderate",15712,1
"156",2013-01-07,11,1,78,"cv",0.89,0,0,-16,-5,1026,"moderate",15712,2
"157",2013-01-07,12,1,89,"NW",3.13,0,0,-15,-3,1025,"moderate",15712,1
"158",2013-01-07,13,1,102,"cv",1.79,0,0,-15,-1,1025,"unhealthy",15712,2
"159",2013-01-07,14,1,113,"NW",1.79,0,0,-18,1,1024,"unhealthy",15712,1
"160",2013-01-07,15,1,134,"cv",0.89,0,0,-19,1,1024,"unhealthy",15712,2
"161",2013-01-07,16,1,33,"cv",1.34,0,0,-19,0,1024,"good",15712,2
"162",2013-01-07,17,1,133,"cv",2.23,0,0,-16,-3,1024,"unhealthy",15712,2
"163",2013-01-07,18,1,150,"SE",0.89,0,0,-15,-4,1024,"unhealthy",15712,4
"164",2013-01-07,19,1,164,"NE",0.89,0,0,-14,-7,1025,"unhealthy",15712,3
"165",2013-01-07,20,1,194,"SE",1.79,0,0,-14,-7,1026,"unhealthy",15712,4
"166",2013-01-07,21,1,233,"SE",2.68,0,0,-14,-8,1026,"unhealthy",15712,4
"167",2013-01-07,22,1,250,"cv",0.45,0,0,-14,-7,1027,"unhealthy",15712,2
"168",2013-01-07,23,1,299,"cv",0.9,0,0,-13,-8,1027,"unhealthy",15712,2
"169",2013-01-08,0,1,333,"NW",1.79,0,0,-14,-10,1028,"posisonous",15713,1
"170",2013-01-08,1,1,357,"NE",0.89,0,0,-14,-10,1028,"posisonous",15713,3
"171",2013-01-08,2,1,390,"NE",2.68,0,0,-13,-8,1029,"posisonous",15713,3
"172",2013-01-08,3,1,326,"NE",3.57,0,0,-14,-9,1029,"posisonous",15713,3
"173",2013-01-08,4,1,402,"NE",4.46,0,0,-14,-10,1029,"posisonous",15713,3
"174",2013-01-08,5,1,365,"NW",1.79,0,0,-15,-13,1029,"posisonous",15713,1
"175",2013-01-08,6,1,257,"NW",4.92,0,0,-14,-12,1030,"unhealthy",15713,1
"176",2013-01-08,7,1,135,"NW",6.71,0,0,-15,-11,1030,"unhealthy",15713,1
"177",2013-01-08,8,1,159,"NE",1.79,0,0,-13,-10,1032,"unhealthy",15713,3
"178",2013-01-08,9,1,170,"cv",0.89,0,0,-11,-7,1033,"unhealthy",15713,2
"179",2013-01-08,10,1,36,"NW",8.05,0,0,-16,-4,1033,"good",15713,1
"180",2013-01-08,11,1,19,"NW",15.2,0,0,-17,-3,1033,"good",15713,1
"181",2013-01-08,12,1,20,"NW",23.25,0,0,-19,-2,1031,"good",15713,1
"182",2013-01-08,13,1,18,"NW",33.08,0,0,-19,-2,1031,"good",15713,1
"183",2013-01-08,14,1,19,"NW",40.23,0,0,-20,-2,1031,"good",15713,1
"184",2013-01-08,15,1,14,"NW",45.15,0,0,-20,-2,1031,"good",15713,1
"185",2013-01-08,16,1,11,"NW",52.3,0,0,-21,-2,1031,"good",15713,1
"186",2013-01-08,17,1,16,"NW",58.11,0,0,-22,-3,1031,"good",15713,1
"187",2013-01-08,18,1,19,"NW",63.03,0,0,-21,-4,1031,"good",15713,1
"188",2013-01-08,19,1,18,"NW",67.05,0,0,-21,-8,1032,"good",15713,1
"189",2013-01-08,20,1,21,"NW",71.07,0,0,-22,-10,1032,"good",15713,1
"190",2013-01-08,21,1,21,"NW",75.09,0,0,-21,-9,1033,"good",15713,1
"191",2013-01-08,22,1,17,"NW",78.22,0,0,-23,-9,1033,"good",15713,1
"192",2013-01-08,23,1,19,"NW",82.24,0,0,-23,-7,1034,"good",15713,1
"193",2013-01-09,0,1,23,"NE",1.79,0,0,-23,-10,1034,"good",15714,3
"194",2013-01-09,1,1,29,"NW",3.13,0,0,-23,-11,1033,"good",15714,1
"195",2013-01-09,2,1,22,"NW",7.15,0,0,-22,-9,1033,"good",15714,1
"196",2013-01-09,3,1,18,"NW",11.17,0,0,-21,-12,1033,"good",15714,1
"197",2013-01-09,4,1,24,"NW",14.3,0,0,-22,-12,1032,"good",15714,1
"198",2013-01-09,5,1,22,"NW",16.09,0,0,-21,-12,1032,"good",15714,1
"199",2013-01-09,6,1,17,"cv",0.89,0,0,-21,-13,1032,"good",15714,2
"200",2013-01-09,7,1,27,"NW",1.79,0,0,-20,-13,1032,"good",15714,1
"201",2013-01-09,8,1,44,"NE",1.79,0,0,-20,-15,1032,"good",15714,3
"202",2013-01-09,9,1,46,"cv",0.89,0,0,-18,-9,1033,"good",15714,2
"203",2013-01-09,10,1,35,"NW",1.79,0,0,-19,-6,1033,"good",15714,1
"204",2013-01-09,11,1,48,"cv",0.89,0,0,-20,-4,1032,"good",15714,2
"205",2013-01-09,12,1,59,"NW",1.79,0,0,-19,-3,1031,"moderate",15714,1
"206",2013-01-09,13,1,69,"cv",0.89,0,0,-19,-1,1029,"moderate",15714,2
"207",2013-01-09,14,1,72,"NW",4.92,0,0,-23,1,1028,"moderate",15714,1
"208",2013-01-09,15,1,59,"NW",9.84,0,0,-23,1,1028,"moderate",15714,1
"209",2013-01-09,16,1,57,"NW",13.86,0,0,-23,0,1028,"moderate",15714,1
"210",2013-01-09,17,1,67,"SE",4.02,0,0,-18,-1,1028,"moderate",15714,4
"211",2013-01-09,18,1,75,"SE",7.15,0,0,-18,-3,1028,"moderate",15714,4
"212",2013-01-09,19,1,15,"SE",10.28,0,0,-15,-5,1028,"good",15714,4
"213",2013-01-09,20,1,38,"SE",12.07,0,0,-15,-4,1029,"good",15714,4
"214",2013-01-09,21,1,41,"cv",0.89,0,0,-14,-7,1029,"good",15714,2
"215",2013-01-09,22,1,63,"SE",0.89,0,0,-15,-8,1029,"moderate",15714,4
"216",2013-01-09,23,1,234,"cv",0.89,0,0,-15,-11,1029,"unhealthy",15714,2
"217",2013-01-10,0,1,305,"NE",0.89,0,0,-15,-12,1029,"posisonous",15715,3
"218",2013-01-10,1,1,304,"NE",1.78,0,0,-16,-12,1029,"posisonous",15715,3
"219",2013-01-10,2,1,303,"NW",1.79,0,0,-17,-13,1029,"posisonous",15715,1
"220",2013-01-10,3,1,221,"NW",2.68,0,0,-17,-13,1029,"unhealthy",15715,1
"221",2013-01-10,4,1,179,"NW",5.81,0,0,-18,-14,1028,"unhealthy",15715,1
"222",2013-01-10,5,1,162,"NW",8.94,0,0,-18,-14,1028,"unhealthy",15715,1
"223",2013-01-10,6,1,111,"NW",10.73,0,0,-17,-13,1028,"unhealthy",15715,1
"224",2013-01-10,7,1,114,"NW",13.86,0,0,-17,-13,1028,"unhealthy",15715,1
"225",2013-01-10,8,1,81,"NW",16.99,0,0,-16,-12,1029,"moderate",15715,1
"226",2013-01-10,9,1,56,"NW",18.78,0,0,-15,-9,1029,"moderate",15715,1
"227",2013-01-10,10,1,63,"cv",0.89,0,0,-15,-7,1029,"moderate",15715,2
"228",2013-01-10,11,1,79,"cv",1.78,0,0,-15,-6,1029,"moderate",15715,2
"229",2013-01-10,12,1,84,"cv",2.67,0,0,-14,-4,1028,"moderate",15715,2
"230",2013-01-10,13,1,97,"SE",1.79,0,0,-13,-3,1027,"moderate",15715,4
"231",2013-01-10,14,1,111,"SE",3.58,0,0,-11,-3,1027,"unhealthy",15715,4
"232",2013-01-10,15,1,167,"SE",5.37,0,0,-11,-3,1026,"unhealthy",15715,4
"233",2013-01-10,16,1,279,"SE",7.16,0,0,-10,-3,1026,"unhealthy",15715,4
"234",2013-01-10,17,1,395,"SE",8.95,0,0,-9,-5,1026,"posisonous",15715,4
"235",2013-01-10,18,1,449,"SE",9.84,0,0,-10,-7,1026,"posisonous",15715,4
"236",2013-01-10,19,1,389,"SE",10.73,0,0,-9,-7,1027,"posisonous",15715,4
"237",2013-01-10,20,1,421,"SE",12.52,0,0,-9,-7,1027,"posisonous",15715,4
"238",2013-01-10,21,1,486,"SE",15.65,0,0,-8,-7,1027,"posisonous",15715,4
"239",2013-01-10,22,1,486,"cv",0.89,0,0,-7,-6,1027,"posisonous",15715,2
"240",2013-01-10,23,1,488,"SE",0.89,0,0,-7,-6,1027,"posisonous",15715,4
"241",2013-01-11,0,1,434,"cv",0.89,0,0,-7,-6,1026,"posisonous",15716,2
"242",2013-01-11,1,1,425,"cv",1.78,0,0,-7,-5,1025,"posisonous",15716,2
"243",2013-01-11,2,1,418,"cv",2.67,0,0,-7,-5,1026,"posisonous",15716,2
"244",2013-01-11,3,1,416,"NW",1.79,0,0,-7,-5,1025,"posisonous",15716,1
"245",2013-01-11,4,1,402,"NW",2.68,0,0,-7,-5,1024,"posisonous",15716,1
"246",2013-01-11,5,1,429,"NW",4.47,0,0,-7,-5,1024,"posisonous",15716,1
"247",2013-01-11,6,1,408,"NW",6.26,0,0,-7,-5,1024,"posisonous",15716,1
"248",2013-01-11,7,1,456,"NW",8.05,0,0,-7,-5,1024,"posisonous",15716,1
"249",2013-01-11,8,1,434,"NW",9.84,0,0,-7,-5,1025,"posisonous",15716,1
"250",2013-01-11,9,1,391,"NE",0.89,1,0,-6,-5,1025,"posisonous",15716,3
"251",2013-01-11,10,1,377,"NW",3.13,0,0,-7,-4,1025,"posisonous",15716,1
"252",2013-01-11,11,1,377,"NW",6.26,0,0,-7,-3,1024,"posisonous",15716,1
"253",2013-01-11,12,1,361,"NW",9.39,0,0,-7,-2,1023,"posisonous",15716,1
"254",2013-01-11,13,1,343,"cv",0.89,0,0,-7,-1,1022,"posisonous",15716,2
"255",2013-01-11,14,1,356,"cv",1.78,0,0,-7,-1,1022,"posisonous",15716,2
"256",2013-01-11,15,1,353,"cv",2.67,0,0,-8,0,1022,"posisonous",15716,2
"257",2013-01-11,16,1,340,"cv",3.56,0,0,-9,1,1022,"posisonous",15716,2
"258",2013-01-11,17,1,146,"NW",3.13,0,0,-10,1,1023,"unhealthy",15716,1
"259",2013-01-11,18,1,216,"SE",3.13,0,0,-8,-2,1023,"unhealthy",15716,4
"260",2013-01-11,19,1,291,"SE",4.92,0,0,-9,-4,1024,"unhealthy",15716,4
"261",2013-01-11,20,1,325,"cv",1.79,0,0,-11,-7,1025,"posisonous",15716,2
"262",2013-01-11,21,1,292,"cv",2.68,0,0,-9,-6,1025,"unhealthy",15716,2
"263",2013-01-11,22,1,371,"cv",3.57,0,0,-11,-9,1025,"posisonous",15716,2
"264",2013-01-11,23,1,369,"SE",3.13,0,0,-8,-5,1025,"posisonous",15716,4
"265",2013-01-12,0,1,374,"cv",0.89,0,0,-10,-9,1025,"posisonous",15717,2
"266",2013-01-12,1,1,391,"SE",1.79,0,0,-11,-10,1025,"posisonous",15717,4
"267",2013-01-12,2,1,442,"NE",1.79,0,0,-13,-12,1025,"posisonous",15717,3
"268",2013-01-12,3,1,425,"SE",0.89,0,0,-12,-11,1025,"posisonous",15717,4
"269",2013-01-12,4,1,442,"cv",0.89,0,0,-12,-11,1024,"posisonous",15717,2
"270",2013-01-12,5,1,287,"cv",1.78,0,0,-12,-11,1024,"unhealthy",15717,2
"271",2013-01-12,6,1,275,"cv",2.67,0,0,-13,-10,1024,"unhealthy",15717,2
"272",2013-01-12,7,1,174,"cv",3.56,0,0,-14,-12,1024,"unhealthy",15717,2
"273",2013-01-12,8,1,278,"NW",1.79,0,0,-15,-13,1024,"unhealthy",15717,1
"274",2013-01-12,10,1,319,"NW",5.37,0,0,-10,-6,1024,"posisonous",15717,1
"275",2013-01-12,11,1,383,"cv",0.89,0,0,-9,-3,1024,"posisonous",15717,2
"276",2013-01-12,12,1,472,"SE",1.79,0,0,-9,-3,1022,"posisonous",15717,4
"277",2013-01-12,13,1,458,"SE",3.58,0,0,-9,-2,1021,"posisonous",15717,4
"278",2013-01-12,14,1,529,"SE",5.37,0,0,-7,-1,1021,"posisonous",15717,4
"279",2013-01-12,15,1,802,"SE",7.16,0,0,-7,-1,1021,"posisonous",15717,4
"280",2013-01-12,16,1,845,"SE",8.95,0,0,-7,-2,1021,"posisonous",15717,4
"281",2013-01-12,17,1,810,"SE",9.84,0,0,-7,-4,1021,"posisonous",15717,4
"282",2013-01-12,18,1,776,"SE",11.63,0,0,-8,-6,1021,"posisonous",15717,4
"283",2013-01-12,19,1,824,"cv",0.89,0,0,-8,-7,1022,"posisonous",15717,2
"284",2013-01-12,20,1,886,"cv",1.34,0,0,-8,-7,1023,"posisonous",15717,2
"285",2013-01-12,21,1,852,"NE",0.89,0,0,-9,-8,1023,"posisonous",15717,3
"286",2013-01-12,22,1,858,"cv",0.89,0,0,-10,-9,1024,"posisonous",15717,2
"287",2013-01-12,23,1,805,"NW",1.79,0,0,-10,-9,1024,"posisonous",15717,1
"288",2013-01-13,0,1,744,"NW",2.68,0,0,-9,-8,1024,"posisonous",15718,1
"289",2013-01-13,1,1,731,"NW",4.47,0,0,-8,-7,1025,"posisonous",15718,1
"290",2013-01-13,2,1,722,"SE",0.89,0,0,-6,-5,1025,"posisonous",15718,4
"291",2013-01-13,3,1,684,"NW",1.79,0,0,-6,-5,1025,"posisonous",15718,1
"292",2013-01-13,4,1,651,"NW",3.58,0,0,-6,-5,1025,"posisonous",15718,1
"293",2013-01-13,5,1,673,"cv",0.89,0,0,-6,-5,1025,"posisonous",15718,2
"294",2013-01-13,6,1,584,"NW",3.13,0,0,-6,-4,1025,"posisonous",15718,1
"295",2013-01-13,7,1,475,"NW",6.26,0,0,-6,-3,1025,"posisonous",15718,1
"296",2013-01-13,8,1,341,"NW",9.39,0,0,-6,-3,1026,"posisonous",15718,1
"297",2013-01-13,9,1,288,"NW",11.18,0,0,-6,-2,1026,"unhealthy",15718,1
